"dataid"	"active_record"	"building_type"	"program_579"	"program_baseline"	"program_energy_internet_demo"	"program_lg_appliance"	"program_verizon"	"program_ccet_group"	"program_civita_group"	"city"	"state"	"pv"	"date_enrolled"	"date_withdrawn"	"house_construction_year"	"total_square_footage"	"first_floor_square_footage"	"second_floor_square_footage"	"third_floor_square_footage"	"half_floor_square_footage"	"lower_level_square_footage"	"audit_2011"	"audit_2013_2014"	"survey_2011"	"survey_2012"	"survey_2013"	"survey_2014"	"number_of_nests"	"indoor_temp_min_time"	"indoor_temp_max_time"	"gas_ert_min_time"	"gas_ert_max_time"	"water_ert_min_time"	"water_ert_max_time"	"water_capstone_min_time"	"water_capstone_max_time"	"egauge_min_time"	"egauge_max_time"	"air1"	"air2"	"air3"	"airwindowunit1"	"aquarium1"	"bathroom1"	"bathroom2"	"bedroom1"	"bedroom2"	"bedroom3"	"bedroom4"	"bedroom5"	"car1"	"clotheswasher1"	"clotheswasher_dryg1"	"diningroom1"	"diningroom2"	"dishwasher1"	"disposal1"	"drye1"	"dryg1"	"freezer1"	"furnace1"	"furnace2"	"garage1"	"garage2"	"gen"	"grid"	"heater1"	"housefan1"	"icemaker1"	"jacuzzi1"	"kitchen1"	"kitchen2"	"kitchenapp1"	"kitchenapp2"	"lights_plugs1"	"lights_plugs2"	"lights_plugs3"	"lights_plugs4"	"lights_plugs5"	"lights_plugs6"	"livingroom1"	"livingroom2"	"microwave1"	"office1"	"outsidelights_plugs1"	"outsidelights_plugs2"	"oven1"	"oven2"	"pool1"	"poollight1"	"poolpump1"	"pump1"	"range1"	"refrigerator1"	"refrigerator2"	"security1"	"shed1"	"sprinkler1"	"use"	"utilityroom1"	"venthood1"	"waterheater1"	"waterheater2"	"winecooler1"
"417"	2540	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"12/10/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	"4/11/12 18:58"	"5/10/13 16:28"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	8236	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - UT Text"	NA	"Austin"	"Texas"	"yes"	"2/1/11"	NA	2008	1994	1001	993	0	NA	NA	"yes"	" "	"yes"	" "	"yes"	" "	NA	""	""	"4/11/12 18:58"	"5/10/13 16:29"	""	""	""	""	"11/17/12 18:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	""	""	"yes"	"yes"	""	""	""	""	"yes"	""	""	""	"yes"	""	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	"yes"	"yes"	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""
"281"	7863	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - Text Message"	NA	"Austin"	"Texas"	"yes"	"11/22/11"	NA	2009	1994	NA	NA	NA	NA	NA	" "	"yes"	"yes"	" "	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	"7/20/12 19:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	"yes"	""	"yes"	""	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	"yes"	""	""	"yes"	""	"yes"	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	""	"yes"	"yes"	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""
"420"	7875	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - Text Message"	NA	"Austin"	"Texas"	"yes"	"12/28/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	""	""	""	""	""	""	"1/25/13 0:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	"yes"	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	"yes"	""	"yes"
"314"	7117	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"3/19/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	"4/11/12 18:52"	"5/10/13 16:29"	""	""	""	""	"5/29/14 0:00"	"5/31/15 2:42"	"yes"	""	""	""	NA	"yes"	""	"yes"	""	""	""	""	""	"yes"	""	""	""	"yes"	"yes"	"yes"	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	""	"yes"	"yes"	""	""	"yes"	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""
"203"	9920	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"9/1/11"	NA	1960	1080	1080	0	0	NA	NA	" "	" "	" "	" "	" "	" "	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	9052	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	"yes"	"11/22/11"	NA	2008	2345	1385	960	0	0	0	" "	" "	"yes"	"yes"	"yes"	"yes"	2	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	"9/17/12 19:00"	"5/30/15 2:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""
"401"	6101	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - Pricing Trial"	NA	"Austin"	"Texas"	""	"10/3/12"	NA	2011	1435	602	833	NA	NA	NA	" "	"yes"	" "	"yes"	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	"10/20/12 19:00"	"5/31/15 2:49"	"yes"	""	""	""	NA	""	""	"yes"	""	""	""	""	"yes"	"yes"	""	"yes"	""	"yes"	"yes"	"yes"	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	"yes"	"yes"	""	"yes"	""	""	"yes"	""	""	""	""	""
"154"	3109	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"9/1/11"	NA	1948	1061	1061	0	0	NA	NA	"yes"	" "	" "	" "	" "	" "	NA	""	""	"4/4/13 6:41"	"5/7/13 14:53"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	5131	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"3/19/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:28"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	9701	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - Control"	NA	"Austin"	"Texas"	""	"8/3/12"	NA	2008	1185	602	583	NA	NA	NA	" "	" "	" "	"yes"	" "	" "	NA	""	""	"4/11/12 18:58"	"5/10/13 16:29"	""	""	""	""	"11/1/12 19:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	""	""	"yes"	""	""	""	""	""	"yes"	""	""	""	"yes"	""	"yes"	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	"yes"	"yes"	"yes"	"yes"	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	"yes"	""	""	""	""	""
"411"	5109	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - Portal Only"	NA	"Austin"	"Texas"	"yes"	"11/15/12"	NA	1979	2920	1890	1030	0	0	0	" "	" "	" "	" "	"yes"	"yes"	1	""	""	""	""	""	""	""	""	"4/26/13 19:00"	"5/31/15 2:59"	"yes"	"yes"	""	""	NA	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	"yes"	""	""	"yes"	"yes"	""
"261"	5484	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"11/22/11"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	4671	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - Control"	NA	"Austin"	"Texas"	""	"2/1/11"	NA	2008	1240	620	620	0	NA	NA	"yes"	" "	" "	"yes"	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	7335	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"3/19/11"	NA	2006	2441	1593	0	0	0	848	" "	" "	"yes"	" "	" "	" "	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	2864	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - Pricing Trial"	NA	"Austin"	"Texas"	"yes"	"9/1/11"	NA	1963	1973	NA	NA	NA	NA	NA	"yes"	"yes"	" "	"yes"	" "	" "	1	""	""	""	""	""	""	""	""	"10/5/12 19:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	"yes"	""	"yes"	""	""	""	""	""
"6"	585	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - UT Text"	NA	"Austin"	"Texas"	"yes"	"2/1/11"	NA	2008	1720	1720	0	0	NA	NA	"yes"	" "	" "	"yes"	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	"1/1/12 0:00"	"5/31/15 3:59"	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""
"151"	2171	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - Control"	NA	"Austin"	"Texas"	""	"9/1/11"	NA	1980	1628	818	810	0	NA	NA	"yes"	"yes"	"yes"	"yes"	" "	"yes"	1	""	""	""	""	""	""	""	""	"11/16/12 18:00"	"5/31/15 3:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	""	""	"yes"	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	""	"yes"	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	"yes"	""	""
"342"	6182	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"5/4/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	93	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - Text Message"	NA	"Austin"	"Texas"	"yes"	"9/1/11"	NA	1993	2934	2934	0	0	NA	NA	"yes"	" "	"yes"	" "	" "	" "	0	""	""	""	""	""	""	""	""	"12/8/12 18:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	""	"yes"	""	""	""	"yes"	"yes"	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	"yes"	""	"yes"	"yes"	"yes"	""	""	""	""	""	"yes"	""	""	""	"yes"	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	"yes"	""	""	""	""
